Title|Year|Plot
#HoodDocumentary|2016|Triple threat R.S. (Roll Safe, or Reece Simpson to his mum and dad) continues his feud with music producer LJ, woos his unrequited love Rachel and tries in vain to convince the job centre that he has been offered James Bond. 
#LawstinWoods|2013|#LawstinWoods follows the story of 6 strangers who were taken from their lives and placed in woods called the "Lawstin Woods." The mysterious name of the woods happens to parallel their own misfortune, which is that they are all lost in woods. While trapped in the mystical forest they struggle to get answers, while they fight to stay alive. All the while a small group of people who claim to be residents of the Lawstin Woods taunt those who're lost, but never give the gang answers. Instead they appear to simply toy with them. 
#LoveBytes|2015|The show plays out the trials and tribulations of the leading characters Ananya's and Abhishek's romantic relationship. Ananya Singh is a 26-year old girl from Lucknow who has been working in Mumbai for the last 6 years. Simple, not very social and rather homely, Ananya is possessive and doesn't quite understand or appreciate all the female attention her boyfriend gets. Abhishek on the other hand, is a 28 year-old copywriter in a media firm. A party animal, he is best described as driven, ambitious and affable all at once! With a deliciously urban and youthful flavor, the series underlines what makes these two very different individuals click and sometimes clash, the show also elucidates all those things that are necessary for an urban Indian relationship to sustain itself and the daily challenges that come in the way. 
#MonologueWars|2014|Monologue Wars pits the 8 Sided Ensemble against each other in a friendly [mostly] contest. With the help of our audience, the first monologue was chosen. Each competitor was then given one week to learn it, rehearse it, and film it. And that was where the fun began: until October 18th 2014 our competitors will be vying for the highest number of Likes on their video. 
#MovingOut|2017|An urban story of a modern girl - who leaves her home succumbing to the pressure of getting married, by otherwise supportive parents. She seeks herself while Moving Out of her own comfort zone,prejudice and social taboos ,while waving the flag of a New Normal. 
#Murder|2017|The premiere episode of #Murder tells the story of 14-year-old Shaniesha Forbes, a typical American teenager from Brooklyn, N.Y. If she wasn't hanging out with family or friends, she was busy scrolling through Facebook, planning her next event on her busy social calendar. But when Forbes failed to come home from school or answer her phone in January of 2013, her mother knew something was terribly wrong. To find out what happened, detectives would have to dig into her online profile to see who would want to hurt this beautiful teen. Along the way, their search for the truth will reveal every parent's worst nightmare, and show a far more sinister side of social media. 
#Nightstrife|2014|With Jeremy fresh off the tarmac in Chicago from Los Angeles he and Erika are ready to work through their issues and resurrect the best sketch show you've probably never heard of (but should have). #NightStrife, the television series, was birthed from a frustration with the lack of African- Americans in televised comedy and what Jeremy and Erika felt was a lack of sophistication of material given to black comedians. With #NightStrife, the webseries, they decided to create a comedy series like nothing else on YouTube. 
#NotMadMonday|2015|#NotMadMonday is a new, fast-paced talk show starring unlikely #BFFS, Brian Patacca + Chelsea London Lloyd. (He's from the 70s and she's a 90s bitch.) #TheyLoveIt. Drawing on their close friendship and disparity in age, this show takes irreverence to a whole new level as these co-hosts confront online dating (#serioustalk), technological dis-advancements and maddening etiquette (#wedont). 
#ScenesFromRussia|2013|Times for the gay community in Russia have gone from bad to worse. Times became more tumultuous and brutal for 7 LGBT friends living together when President Vladimir Putin signed a new measure into law that outlaws being gay in public or more specifically; Outlaws homosexual propaganda among minors. Scenes From Russia is a dramatic miniseries that premiered on Monday, September 2, 2013. The once a week miniseries tells the story of 7 fictional LGBT characters who all reside in the small fictitious town of Rot, located in Russia. 
#SmurTv|2016|Sketch comedy from the creators of the online series "Swaggapuss Gets a Job." The show is hosted by the character Swaggapuss as hits the streets to ask people what "Smur" means to them. Ramon "R.L." Terry, Malik Sims and a growing cast of others team up for pure randomness of sketch comedy. 
#SoySolo|2016|Lucas is a young soap opera writer who is afraid to make a serious relationship after the frustration that caused him his last romantic breakup. But Juliet appears in her life, an optimist by default who is willing to rule the situation. To the fears that inhibit it are added the appearances of a psychologist mother who analyzes it compulsively, the anti-aid of his best friend and brother. By chapter we will see the step by step of the attempt of Lucas to experience something of which Juliet comes to propose in its life: a love relationship. 
#SpongeyLeaks|2016|Trevor's aunt, Barbara Eyster, has been living with Multiple Sclerosis. She had been provided a live-in caregiver who was paid to help care for her in her day-to-day life. On November 16, 2016, Trevor received an email from Barbara stating she was being evicted and had 3 days to remove her property from her house. When Trevor arrived to help, he was shocked by the condition of both Barbara and her house. He immediately moved in to help with her care. The day after Thanksgiving, Trevor returned to his aunt's home during an argument between the caregiver and his aunt. Multiple 911 calls were made when the caregiver refused to leave. During one of the 911 calls, the caregiver falsely claimed he was being threatened with a loaded gun. When the police arrived Trevor was arrested. Trevor posted bail, and the charges were later dropped. Trevor realized he needed to get the truth out to raise awareness for not only his aunt's situation but elder and dependent abuse as a whole. On December 19, 2016, the first #SpongeyLeaks video was released to show the public what had been going on behind closed doors in his aunt's house. The releases following look more into the details of the leading events, as well as what has happened in the days since the events of November 26. 
#TanCosmo|2014|MÃnica Fonseca, Colombian hostess, will help you create your own style and make yours the most edgy and newest trends before they become popular. Fashion, health, beauty, eco, tech, design and travel trends will get to you first, and you'll be able to know who are the creative people and forces behind them. Thus, you will stand out in the crowd! 
#TheWestbrooks|2015|The five Insta-famous WestBrooks sisters decide to throw a pool party to kick-off their brand. Meanwhile, youngest sister India is dogged by scandalous internet photos from a past fling with one famous rapper while she begins to test the relationship boundaries with another hip hop artist. 
#Untitled: The Webseries|2017|Laysia Malone has been going through a very difficult time for the past few years. Just as she is moving forward and meeting new people her ex, Lisa Evans, comes back into her life. Will Laysia slide back to the past or breeze forward to bigger and better things? 
#VanLifeAttila|2016|Attila talks about his emotions about the future and how his depression and media have affected his reactions to situations. Giving advice to people to just try different things in life, in order to find out what fits. Because you might have everything you want, until you try something new and realize that what you had was not as good as what you must tried. 'Cause what you had may not be what you want, but didn't know it until you tried something else. 
#mykpop|2013|The global phenomenon that is the K-pop wave through the lives of eight fanatics across the world. Through social media and their individual stories, each fan will show how K-pop impacts their daily lives, culminating in their journey to North America's biggest K-pop convention and concert, KCON 2013. 
#thebasic|2016|A single-camera comedy about Ghost Gerald and Human Allison. Gerald always wanted to be YouTube famous. But, he died. Gerald also loves teaching stuff. But, he is dead and can't do sh**. So. Ghost Gerald is haunting Allison until she makes him famous and teaches you things that are really hard for a ghost, but reallllll basic for a human. 
$#*! My Dad Says|2010|This show is about Ed Goodson a very old fashion guy who has a shotgun on the wall and wears fishing jackets living his life how he likes, until one day his youngest son moves in with him and a lot of funny stuff happens with Ed, his two sons and the older one's wife. 
$1,000,000 Chance of a Lifetime|1986|A short-lived quiz show hosted by TV veteran Jim Lange. Husband-and-wife teams would compete against each other in answering a tough series of trivia questions. The winning couple would then go on to the championship round, where they would have a chance to win one million dollars. Two married couples, sometimes including a returning champion, competed in one of the first game shows to offer $1 million as a grand prize. In "$1,000,000 Chance of a Lifetime," which combined elements of "Wheel of Fortune" and "Scrabble," the couples competed to solve word puzzles. Up to six clues were given for the puzzle's solution; one member of each team was selected to try to guess each clue word, with letters inserted at random except for the last one. Each correct guess was worth $25 and allowed the contestant to go to the keyboard. The keyboard indicated which letters were in the puzzle, plus one "stinger" (an extra letter not in the puzzle); selecting the "stinger" meant the contestant lost his/her turn, and a new clue was played. Each selected letter revealed in the puzzle added $25 to the pot; the team that solves the puzzle won the pot. Three rounds were played, with the second round values of $50 per clue/puzzle letter and third round values of $100 each. The team with the most money after three rounds was champion, kept their winnings and advanced to the bonus round. In the bonus round, the couple selected a category from a choice of three and then are locked in an isolation booth. The couple has 60 seconds to guess six words associated with that category. For each successful bonus round win, the couple was given a cash prize ($5,000 on day 1, $10,000 on day 2), or they could give it back and continue, always at risk of losing a subsequent bonus round and thus having to leave the show. Only by winning three bonus rounds in a row did the couple win the $1 million grand prize. The $1 million was awarded as all cash during the spring 1986 season, and $900,000 plus a $100,000 luxury prize package (two Mazda cars, a house full of furniture, including a living room, dining room, bedroom, complete kitchen and outdoor spa, and twenty round-trip airline tickets to anywhere in America on Delta Air Lines) during the 1986-1987 season. 
$100,000 Name That Tune|1984|An updated version of the popular long-running quiz show, hosted by Jim Lange. Two contestants compete to see who has the greater knowledge of popular songs. As the music plays, the first contestant to name the song wins money and prizes. Additional challenges include the contestants 'bidding' on how few notes they need in order to name that tune. Two contestants competed in a series of musical identification games in this 1980s five-day-a-week update of "Name That Tune." Games included Melody Roulette, where host Lange spun a carnival wheel to determine the dollar value of the tune; Tune Topics, where each song's title was related; and the famous Bid-a-Note, where contestants were given the clue to a song and then bid downward against each other to determine how few notes they needed ("I can name that tune in three notes!"). Contestants won points for winning each round; the high scorer after three rounds was champion and moved on to the "Golden Medley. In the "Golden Medley," the champion had to identify seven tunes within 30 seconds. Prizes were awarded for each correct answer. An incorrect guess stopped the game, while naming all seven tunes won an additional prize package and the right to return for a tournament (which took place every eight weeks or so) for $100,000 in cash and prizes. Some of the prizes offered for the tournament winners were awarded individually to winners in a home- viewer contest. 
$2 Donuts|2017|$2 Donuts is a long form Australian dramedy series that tackles love, sex, depression, gender, race and all the junk and junk food in between. The narrative follows Viv and Lil, two housemates in their early twenties who are forced to confront their coming of age fears. The series has as ongoing focus on contrast: between the two lead characters, between the city, the country and suburbia, between unspoken social classes. The characters are all caught between childhood and adulthood. Everything is haunted by the nostalgia of an unattainable rosy childhood. 
$24 in 24|2012|Food Network star Jeff Mauro is eating his way across America... $24 at a time. From the West Coast to the Great Lakes to the Northeast, Jeff is on a mission to prove that eating great food doesn't have to break the bank. In each city, he'll set out to get breakfast, lunch, dinner and a snack ... all for under $24. Can he do it? Tune in to find out! 
$25 Million Dollar Hoax|2004|A three-episode reality series. A woman has to convince her family that she has won the lottery and that the money has turned her from a nice girl into a selfish shopaholic. If the prank is successful, the family really will win a large prize. If she fails, her and her family get nothing. 
$5 Cover: Seattle|2009|The independent music scene in Seattle is a vibrant community of talented musicians. $5 Cover Seattle is a dramatic series from Humpday's Lynn Shelton that takes place over 1 weekend in the lives of 14 Seattle bands as they interact, practice, work, perform and hang out with their friends. 
$9.99|2003|Can you have fun in New York City on $9.99? Before you say fuhgetaboutit, let $9.99 hosts Julie Laipply, Brian McMullan, Maryam Basir and Rich Collier show you inexpensive and free things to do in the five boroughs. Every episode of $9.99 is a whirlwind tour of New York City's unique neighborhoods. Visit parks, museums, restaurants, galleries and a whole host of interesting attractions that cost little or no money. Each show reveals eight to ten adventures with a combined cost that never tops $9.99. Whether you're watching from new York, New Jersey or Connecticut, satellite or cable, don't miss out on the next adventure for only $9.99! 
$tripped|2015|After Milo is kicked out of Remo's house, Remo and Sam think back on the days when they had hit rock bottom. Remo was a hard-partying raver who falls in lust with the wrong girl and Sam was a compulsive gambler in 1950s mob-run Vegas. Meanwhile, the romance between Remo and Vicky heats up. 
$weepstake$|1979|Similar to the series The Millionaire, as well as The Love Boat/Fantasy Island. Like The Millionaire, Edd Byrnes would present the winnings to the person who'd won the sweepstakes, and the episode follows his or her adventures - good or bad. The guest star cast for the series was similar to The Love Boat/Fantasy Island, with different celebrities each week being the featured sweepstake winner. In each episode of this series, three persons each buy a sweepstakes ticket and each of them has their own reason for wanting to win the jackpot which is one million dollars. And they all become finalists and when the winner is announced, we see how he/she does after winning the money. And we all also see what happens to the other two after losing the jackpot. 
'Allo 'Allo!|1982|RenÃ Artois runs a small cafÃ in France during World War II. He always seems to have his hands full: He's having affairs with most of his waitresses, he's keeping his wife happy, he's trying to please the German soldiers who frequent his cafÃ, and he's running a major underground operation for the Resistance. Quite often, the Germans' incompetence itself is what nearly lands RenÃ and his cohorts in hot water; they are not helped either by the locals, who are dreadfully keen to get rid of the Germans, but their blatant and theatrical attempts at espionage and secrecy often create problems that RenÃ must solve quickly. RenÃ Artois is the owner and manager of a cafÃ in German-occupied France of World War II. To look at him, it's hard to believe that some women find him irresistible, something he has to work hard to hide from his wife Edith. RenÃ's cafÃ, frequented by both the German military and the French resistance, is the focal point for the show. RenÃ's a bit of a coward and is stuck in the middle, trying to humor both sides. Hidden in the cafÃ are two English airmen who don't understand a word of French. Other characters include Lt. Gruber, a homosexual German tank driver; Otto Flick, the evil SS officer who is always outsmarted; and Engelbert von Smallhausen, his small sidekick. RenÃ's not the only coward in town: Captain Hans Geering and Colonel Kurt von Strohm are constantly on the defensive, along with Captain Alberto Bertorelli of the Italian army who has a medal for servicing Fiats. Much of the farce comes from Officer Crabtree, an British agent disguised as a French policeman with a poor grasp of "Zee Fronch Linguige," and from RenÃ's amorous waitresses, Mimi, Yvette, and Maria. In this spoof of World War II, RenÃ Artois runs a cafÃ in German-occupied France. He is also an unwilling agent of the Germans, mostly under the command of Col. Kurt von Strohm, and of the French Resistance, under the command of Michelle Dubois ("Listen very carefully; I shall say this only once"). RenÃ is married to aged Edith, who is the worst singer in the world, but he finds that young women find him sexy. Most of the plots include planning the murder of the local commanding German officer, General Erich von Klinkerhoffen, as well as the ownership of a painting called "The Fallen Madonna with the Big Boobies"--a painting that everybody would love to get their hands on to sell after the war. He has also two downed idiot British airmen who, as time goes by, are impossible to get rid of. The main opposition is the insane SS officer Otto Flick. RenÃ tries to complete the German and the Fench Resistance's plans, even though he's a coward and wonders if he's going to get out of the war alive. 
'Da Kink in My Hair|2007|Mrs. Campbell has come all the way from Jamaica for Novelette's birthday, a surprise orchestrated by Joy, only she's two days early and full of complaints! Meanwhile, Nigel and Starr are getting closer, and as a result, he breaks up with his girlfriend Nikki, but everything changes when Nikki arrives at the party with news of her pregnancy. In the mirror story, a woman gives up custody of her children when she begins to feel herself losing control. 
'Til Death|2006|Joy goes overboard planning for Ally's baby shower and becomes obsessed with baby gifts. Meanwhile, Mr. White has difficulty giving Ally and Doug their shower gift, and Dr. Bialik invites her "Blossom" cast mates to participate in a therapy session for Doug. 
'Way Out|1961|The commanding officer of an underground military bunker must decide whether to launch a retaliatory nuclear strike after all communications with the outside world suddenly cease, even though he doesn't know if the country has actually been attacked. Complicating matters is a mysterious sergeant, new to the unit, who seems to know much more about each man in the bunker than he should, and is pressing the officer to launch the strike. 
'n Shrink|2009|Dr. Jerry, a psychiatrist, is forced to move into a garage apartment after the psycho boyfriend of one his female patients shoots the window out of his office. His wife kicks him out of the house in a jealous tirade because she thinks he is cheating with that patient. He starts an online counseling group for web addicts & before he has the website up and going, he a has a full quorum. His new patient's aren't just looking just for counseling...they want DRUGS!!! 
(Un)Balanced: A Web Series|2017|Melissa is attempting to find her center. The obstacle is the insanity of living in NYC. Through 5 comedic episodes she attempts to jump into this "new age" life-style and is thwarted - either by her own conflicting beliefs or the the city that never sleeps. 
(fdp)|2012|An original comic-drama fiction series that portrays the routine of a Brazilian soccer referee in the pursuit of his biggest dream: to blow the whistle at a World Cup final. In the beginning of the season, Juarez Gomes da Silva, our main character, is summoned to referee the Libertadores da America Cup, an important step towards achieving his goal. But this happens at the same time that his life starts going downhill... After betraying his wife and giving her an STD, Juarez is kicked out of his house, driving him one step further away from his son, Vini. Between games, in Brazil or in Latin America, the judge will try to win back his family while succeeding in his career, without compromising his ethics and trying to keep his balance on the tortuous arena of professional soccer. At the end of every episode, someone will call him a SOB, the abbreviation that gave rise and meaning to this series' name. This production features several special appearances of soccer players and experts, such as: Neymar, Rivelino, RincÃn. 
*Loosely Exactly Nicole|2016|Nicole Byer is living the Hollywood dream. Well, Hollywood adjacent - the deep valley to be precise - and it's not so much a dream but a struggle. With the help of her two besties, Veronica and Devin, Nicole will have to navigate the "real world" as she endures humiliating auditions, unpaid electric bills and the romantic battlefield that is Tinder, all while slowly, but surely, finding her voice as a comedian. 
+27: Social Innovators of South Africa|2014|If there's any country in the world that needs social entrepreneurs, it's South Africa. It has been two decades since the end of Apartheid and the dreams of 'Rainbow Nation' have begun to fade. The reality of leading a country out of dark times has proved a difficult task. Unemployment among the youth is high and crime, education, health care and housing shortages are big issues. However there is hope. Through 6 x 26-minute episodes +27: SOCIAL INNOVATORS OF SOUTH AFRICA tells the story of six social innovators - men and women who are crucial change-makers. They are passionate, community-centric activists who want to make a difference. Each episode focuses on one social entrepreneur and we get to know their personal history, what has motivated them, and the essence of how their project functions. We meet some of the individuals who help them and some of the people whose lives are being uplifted by their programs. With high production values, each episode of this documentary will also be shot by a different young director and crew. The way we make +27: SOCIAL INNOVATORS OF SOUTH AFRICA will therefore reflect the spirit and energy of the people we are documenting. Along with the 6 episodes there will also be a detailed behind-the-scenes series that will help to explain the landscape of the production and the upliftment ethos that underscores +27 as a whole. 
.hack//Roots|2006|In 2015, CC Corporation's data-center caught on fire destroying "The World". By splicing in data from what would have been another project, CC Corp. was able to rebuild the game. In 2016, "The World R:2" was released. .hack//Roots covers the time Haseo spent with Shino and Ovan in the guild known as the Twilight Brigade, before the .hack//G.U. PS2 games. 
.hack//SIGN|2002|It is the year 2010. After the great network crash of 2005, online entertainment was restricted. Two years after, the CC Corporation released the first Massively Multiplayer Online Role Playing game since the incident. The extremely popular game, called "The World" sells millions of copies. And when that many are playing, things are bound to go wrong. A mysterious boy, who calls himself Tsukasa, appears. He is very mysterious, and he claims that he is actually alive "in the world" - that he isn't a person in front of a computer. He is branded a server malfunction by Ginkan and the Scarlet Knights, and is pursued. 
.hack//Tasogare no udewa densetsu|2003|Four years after the Twilight incident in the .hack video games, stability has seemingly returned to the on-line RPG "The World." Shugo and Rena, twin siblings who are living apart from each other, mysteriously acquire the player models of the .hackers: Kite and BlackRose, respectively. But invincible monsters have now made their way into the game - possibly as a result of a group of rogue players. Shugo is given the Twilight Bracelet, a dangerous data-altering item entrusted to the original Kite. Shugo and Rena, along with their newfound friends in the game (including Balmung and Sanjuro, two original players involved with the Twilight conflict), attempt to uncover the secret of these events while also avoiding the Cerulean Knights, a relentless team of system administrators. 
/Drive on NBCSN|2014|/DRIVE on NBC Sports: American Road Trip. Hosts Chris Harris, Matt Farah and Mike Spinelli take three great American sports cars on a tire-smoking road trip, from drag racing in downtown Detroit to setting lap times at Watkins Glen, one of the most iconic racetracks in US racing history. 
009-1|2006|In an alternate reality, the Cold War never ended and has continued on for 140 years. As a result, the world we knew was divided into two factions: the West Block, and the East Block. As the War proceeds, the tension between the two factions, as well as the amount of nuclear weapons they have, rise higher and higher. Mylene Hoffman/009-1 is a beautiful female cyborg who is a spy for the West Block. With her highly developed fitness skills with a cyborg body surpassing an average woman, Mylene takes action in various missions issued by her superiors. 
0511 Sondersendung zu Theaterformen|2007|TV-Report on the Theatre Festival "Theaterformen" with: Cirque dÃs accordÃ, "After the rain", France - "Pornography of everyday life" written by Simon Stevens, direction: Sebastian NÂ¸bling - ,"White, white, black stork" Theatre Ilkhom, Usbekistan - "Small metal objects", Back to Back Theatre, Australia and "Afro Reggae", Rio de Janeiro, Brazil. 
0511 TV Lokal|2007|Someone must have slandered Josef K., for without having done anything wrong he was arrested one morning. This is the first sentence of the famous novel by Franz Kafka. Andreas Kriegenburg called Joseph K. as a close relatives of Buster Keaton. The wonderful ensemble quotes the vaudeville style of silent film and tells the story of a nightmarish farce. 
07-06-16|2016|On July 6th, 2016, a traffic stop turned deadly was live-streamed on Facebook for the world to see. The complexity of race relations in the USA is larger than what I can grasp. This short attempts to archive one way with which this tragic/traumatic event has permeated the mundane moments in people's lives all over the world; weaving a network of emotions and experiences that are complex and non-monolithic. 
07-Ghost|2009|Teito Klein is a young student at the Barsburg Military Academy in the same dorm with his best friend Mikage. They are getting ready for their graduation exam using their abilities, the Zaiphon. Teito sees a vision about a dark secret pertaining to his hidden past (which he is unable to remember) and attempts to assassinate Ayanami, the man who killed his father, but he is captured and sent to a cell. He plans to escape alone, however, when Mikage arrives at his cell to rescue him, he ends up escaping with the help of Mikage and manages to break free from the academy. 
1 Contra Todos|2016|A public defender gets mistakenly arrested when police confuses him with the most dangerous and well known drug dealer in the area - the Doctor of Traffic. To survive in prison, Cadu must pretend do be the real Doctor, and act as if he belongs among the criminals. Based on a true story. 
1 Day with...|2004|A reality/talk/variety series that aired on Soapnet from September 4, 2004 - February 11, 2005. The series featured soap actor 'Wally Kurth' (qv) spending the day with a fellow soap actor or actress, following them throughout their daily activities. KST and SOAPnet are producing a season of, "1 Day With...". "1 Day With..." is an un-scripted, reality-based celebrity profile of a daytime actor for one day. The show provides the audience with their first opportunity to witness real moments with their favorite actors who reveal their personal life off the set. Popular daytime actor, Wally Kurth ("Ned" on General Hospital) is the show's host. Wally has a fresh and disarming way of interacting and communicating with his fellow actors. He brings a playful and endearing quality to the show as we watch him and the guest actor/actress share the day together. Each episode features the two stars in a day that is unique to each guest. Wally will look inside their home, learn about their family, explore their passions and find out about other aspirations they may have outside their acting career. It's a candid, spontaneous and often surprising look into the lives of daytime soap actors. 
1 Habit|2015|1 Habit(TM) is a video series of 90 second Lite-Bites of inspiration built around the idea "Motivation is what gets you started, Habit is what keeps you going." Successful people have habits. Things they do consistently every day of their lives. In this series we will meet the World's highest achievers and ask them... "If you can pick just one habit to instantly instill in a child, what would it be?" Through this we will learn what works and what is possible. In the process, we hope people will share their 1 Habit(TM) and find a new one to instill in themselves. A building is built one brick at a time. Is it possible that greatness is built 1 Habit(TM) at a time? 
1 Kadin 1 Erkek|2008|1 Kadin 1 Erkek is providing in every episode that how men and women are really from different planets, Venus and Mars. These differences have never seen as funnier as before. It takes place at home, car, outdoor etc. anywhere that any couple can spend time together. 
1 Minute Rewatch|2015|As the current Planet of the Apes franchise ends the epic trilogy you always forget exists and forget how absolutely freakin' amazing it is, the One Minute Rewatch looks back at the 1968 original. Apologies in advance for the song stuck in your head by the end of this. 
1 Week to Fly|2018|Learning to fly: an audacious goal for anyone, and perhaps the secret dream of celebrities that you never knew they had. If your favourite actor or musician or personality ever wanted to go for it, you might wonder what the obstacles are, how much it takes, and whether they really have the right combination of intelligence and guts to see it through. Or is it just the realm of Angelina Jolie, Prince Harry, or Tim McGraw? 
1 a Minute: Destination Survival|2015|1 a Minute: Destination Survival is a "series sequel" to 1 a Minute (2010). DS deals with common questions during a cancer journey such as "Why Me", "To Chemo or Not To Chemo", "How do I tell my kids about cancer" and many more. More importantly, subjects of focus are issues related to life after cancer. How to move-on? How can not just survive but thrive? Heavy focus is dealt on the healing of mind, body and spirit. 
1 vs. 100|2006|Host Bob Saget poses questions to both a lone player and a mob of 100 opponents. Each correct answer from the player knocks out any mob members who got it wrong and increases the prize money. If he can eliminate the entire field of 100, he wins $1 million; otherwise, he can quit after any right answer or risk losing everything to the mob if he misses a question. 
1% eo-ddeon keot|2003|Kim Jung Hwa is a young and sincere middle school teacher, who has little interest in money. She is also extremely warm-hearted and loves to help other people. When she helps carry an elderly man's belongings from the train to another location, the elderly man is extremely thankful. This grandfather turns out to be the extremely rich owner of a well known conglomerate. His grandson, Kang Dong Won is a quick-tempered businessman who rivals his grandfather, but in an almost comical way. In an order to "tame" his favorite grandson, the grandfather agrees to give his entire fortune to the person who marries Kim Jung Hwa, therefore forcing Kang to meet the girl whom his grandfather chose. 
1%ui Eoddungut|2016|The story that begins when the female protagonist saved a very old but rich man. Then the old man named the woman as the sole beneficiary of all his wealth. His grandson on the other hand wanting to get the inheritance made a deal with his grandpa to date that woman but with a contract that comes with a price as well. How will each other endure their differences? Will they continue their love story or end it just how it is supposed to be? 
1,000 Places to See Before You Die|2007|Based on Patricia Shultz's travel book this programme follows her guide with Melanie and Albin Ulle, a young American married couple. The programmes focus on a different country in each episode and Melanie and Albin's experience of what each place has to offer. 
1-800-Missing|2003|Jess has a vision that leads her and Nicole to discover a 10-year-old skeleton. When the body is identified, Pollack orders them off the case. Jess and Nicole continue to work on the case while trying to keep their work away from Pollack and trying to figure out why he's so insistent that they can't work on it. Meanwhile, Pollack's wife Janice kicks him out. 
10 Finnish Architects: An Outsider's View|2003|Before documentary film maker Maggy Fellman moved to Finland from Los Angeles, she knew the country was known for it's architecture. Now together with the Museum of Finnish Architecture she has chosen ten Finnish architects to show why the country deserves it's fine reputation. Lars Sonc - Eira hospital, Kaarina LËfstrËm - Innopoli 1 and Innopoli 2, Alvar Aalto - Villa Mairea, Wivi LËnn - Tampere fire station, YrjË Lindegren - Olympic Stadium, Kimmo Lintula & Hannu Tikka - Sibelius Hall, Eliel Saarinen - Hvittrâ°sk, Jyrki Tasa - Into House, Carl Ludvig Engel - University Library, Theodor HËijer - Ateneum. 
10 Items or Less|2006|When the health insurance rates sky rocket, Leslie has to let one of his employees go in order to afford it for the rest of his staff. Not wanting to choose, he sets up a series of reality show-type challenges which ends up shocking everyone. 
10 Million Dollar Bigfoot Bounty|2014|Spike TV is raising the stakes in the endless quest to discover the truth about the legendary creature known as Bigfoot, the seemingly mythical being that roams forests of the world, avoiding mankind. The network is announcing a new one-hour reality show, 10 Million Dollar Bigfoot Bounty, featuring ambitious teams of explorers on a brazen exhibition to unearth real evidence of Bigfoot's existence. The $10 million in cash, underwritten by Lloyd's of London, would be the largest cash prize in television history. 
10 Minute Tales|2009|A child is born in uncompromising circumstances to a girl who can't cope, and walks away. The baby is picked up by an unlikely, modern-day angel: a hoodie with time on his hands, and a desire to give the little'un the happy ending it deserves. Following the guiding lights of the youngster's mother, the pair embark on a memorable journey in this story of love, hope and redemption. 
